False: Execution aborted by timeout\ntime=1698857990.609774 gym-duckietown 2019.0.0

time=1698857990.765369 Registering gym environment id: Duckietown-4way-v0
time=1698857990.7654562 Registering gym environment id: Duckietown-ado_map_1-v0
time=1698857990.765495 Registering gym environment id: Duckietown-ado_map_2-v0
time=1698857990.7655632 Registering gym environment id: Duckietown-loop_dyn_duckiebots-v0
time=1698857990.765646 Registering gym environment id: Duckietown-loop_empty-v0
time=1698857990.7656891 Registering gym environment id: Duckietown-loop_obstacles-v0
time=1698857990.7657578 Registering gym environment id: Duckietown-loop_one_duckie-v0
time=1698857990.7658072 Registering gym environment id: Duckietown-loop_only_duckies-v0
time=1698857990.765853 Registering gym environment id: Duckietown-loop_pedestrians-v0
time=1698857990.7658987 Registering gym environment id: Duckietown-small_loop-v0
time=1698857990.7659461 Registering gym environment id: Duckietown-small_loop_cw-v0
time=1698857990.7659929 Registering gym environment id: Duckietown-straight_road-v0
time=1698857990.766041 Registering gym environment id: Duckietown-straight_road_10_tiles_no_start_tile-v0
time=1698857990.7660892 Registering gym environment id: Duckietown-straight_road_no_start_tile-v0
time=1698857990.7661355 Registering gym environment id: Duckietown-straight_road_trafficlight-v0
time=1698857990.7661827 Registering gym environment id: Duckietown-straight_road_with_side_floor-v0
time=1698857990.766231 Registering gym environment id: Duckietown-udem1-v0
time=1698857990.766277 Registering gym environment id: Duckietown-zigzag_dists-v0
time=1698857992.183283 Falling back to non-multisampled frame buffer
time=1698857992.185715 Falling back to non-multisampled frame buffer
time=1698857992.1881769 loading map file "/home/appuser/aido-auto/gym-duckietown/gym_duckietown/maps/loop_one_duckie.yaml"
time=1698857992.1963801 loading mesh "duckiebot.obj"
time=1698857992.1965199 loading materials from "/home/appuser/aido-auto/gym-duckietown/gym_duckietown/meshes/duckiebot.mtl"
time=1698857992.472321 loading mesh "duckie.obj"
time=1698857992.5047965 loading texture "duckie.png"
time=1698857992.8203838 loading texture "floor_1.png"
time=1698857992.896468 loading texture "curve_left_1.png"
time=1698857992.902248 loading texture "straight_1.png"
time=1698857992.9101253 loading texture "curve_right_1.png"
time=1698857992.9177525 using user tile start: (1, 1)
time=1698857992.9182975 tile: {'coords': (1, 1), 'kind': 'curve_left', 'angle': 3, 'drivable': True, 'curves': array([[[1.17  , 0.    , 0.7605],
        [0.8775, 0.    , 0.7605],
time=1698857994.8342133 Pos: [0.86045708 0.         1.12744213] angle 6.540617324919057
time=1698857994.8805404 Pos: [0.86045708 0.         1.12744213] angle 6.577887299295949
time=1698857994.9267359 Pos: [0.86045708 0.         1.12744213] angle 6.615157273672842
time=1698857994.973083 Pos: [0.86045708 0.         1.12744213] angle 6.647768501252623
time=1698857995.0196052 Pos: [0.86045708 0.         1.12744213] angle 6.680379728832404
time=1698857995.0678601 Pos: [0.86045708 0.         1.12744213] angle 6.712990956412185
time=1698857995.113937 Pos: [0.86045708 0.         1.12744213] angle 6.7456021839919655
time=1698857995.1592174 Pos: [0.86045708 0.         1.12744213] angle 6.7782134115717465
time=1698857995.2045715 Pos: [0.86045708 0.         1.12744213] angle 6.8108246391515275
time=1698857995.2503657 Pos: [0.86045708 0.         1.12744213] angle 6.843435866731308
time=1698857995.296282 Pos: [0.86045708 0.         1.12744213] angle 6.876047094311089
time=1698857995.3417418 Pos: [0.86045708 0.         1.12744213] angle 6.90865832189087
time=1698857995.387663 Pos: [0.86045708 0.         1.12744213] angle 6.941269549470651
time=1698857995.4330842 Pos: [0.86045708 0.         1.12744213] angle 6.973880777050432
time=1698857995.4786777 Pos: [0.8891849  0.         1.10369842] angle 6.973880777050432
time=1698857995.5269778 Pos: [0.91791271 0.         1.07995471] angle 6.973880777050432
time=1698857995.5738113 Pos: [0.94664052 0.         1.056211  ] angle 6.973880777050432
time=1698857995.6218371 Pos: [0.97536834 0.         1.03246729] angle 6.973880777050432
time=1698857995.668567 Pos: [0.97536834 0.         1.03246729] angle 6.941269549470651
time=1698857995.714324 Pos: [0.97536834 0.         1.03246729] angle 6.90865832189087
time=1698857995.7606642 Pos: [1.00558259 0.         1.01064644] angle 6.90865832189087
time=1698857995.8076372 Pos: [1.03579685 0.         0.98882558] angle 6.90865832189087
time=1698857995.8566194 Pos: [1.03579685 0.         0.98882558] angle 6.876047094311089
time=1698857995.909959 Pos: [1.06670652 0.         0.96800148] angle 6.876047094311089
time=1698857995.9660566 Pos: [1.06670652 0.         0.96800148] angle 6.843435866731308
time=1698857996.0154617 Pos: [1.06670652 0.         0.96800148] angle 6.8108246391515275
time=1698857996.061516 Pos: [1.06670652 0.         0.96800148] angle 6.7782134115717465
time=1698857996.1081145 Pos: [1.09950243 0.         0.95029614] angle 6.7782134115717465
time=1698857996.1557276 Pos: [1.13229835 0.         0.9325908 ] angle 6.7782134115717465
time=1698857996.20247 Pos: [1.13229835 0.         0.9325908 ] angle 6.7456021839919655
time=1698857996.248622 Pos: [1.13229835 0.         0.9325908 ] angle 6.712990956412185
time=1698857996.2944841 Pos: [1.13229835 0.         0.9325908 ] angle 6.680379728832404
time=1698857996.3400192 Pos: [1.13229835 0.         0.9325908 ] angle 6.647768501252623
time=1698857996.3858488 Pos: [1.13229835 0.         0.9325908 ] angle 6.615157273672842
time=1698857996.431718 Pos: [1.16753344 0.         0.92044422] angle 6.615157273672842
time=1698857996.4791667 Pos: [1.16753344 0.         0.92044422] angle 6.582546046093061
time=1698857996.525314 Pos: [1.16753344 0.         0.92044422] angle 6.54993481851328
time=1698857996.571923 Pos: [1.20348528 0.         0.91061995] angle 6.54993481851328
time=1698857996.618693 Pos: [1.23943712 0.         0.90079569] angle 6.54993481851328
time=1698857996.6684391 Pos: [1.23943712 0.         0.90079569] angle 6.517323590933499
time=1698857996.7146993 Pos: [1.23943712 0.         0.90079569] angle 6.484712363353718
time=1698857996.7617505 Pos: [1.27595282 0.         0.89333552] angle 6.484712363353718
time=1698857996.8091722 Pos: [1.31246853 0.         0.88587535] angle 6.484712363353718
time=1698857996.856176 Pos: [1.31246853 0.         0.88587535] angle 6.452101135773937
time=1698857996.9028149 Pos: [1.34920806 0.         0.87960975] angle 6.452101135773937
time=1698857996.9530025 Pos: [1.34920806 0.         0.87960975] angle 6.419489908194156
time=1698857996.9990938 Pos: [1.38613236 0.         0.8745454 ] angle 6.419489908194156
time=1698857997.0477624 Pos: [1.38613236 0.         0.8745454 ] angle 6.386878680614375
time=1698857997.0942125 Pos: [1.42320214 0.         0.87068767] angle 6.386878680614375
time=1698857997.1414561 Pos: [1.46027193 0.         0.86682994] angle 6.386878680614375
time=1698857997.1883898 Pos: [1.49734171 0.         0.86297222] angle 6.386878680614375
time=1698857997.2352095 Pos: [1.53441149 0.         0.85911449] angle 6.386878680614375
time=1698857997.2818003 Pos: [1.57148128 0.         0.85525676] angle 6.386878680614375
time=1698857997.328811 Pos: [1.60855106 0.         0.85139904] angle 6.386878680614375
time=1698857997.3779302 Pos: [1.60855106 0.         0.85139904] angle 6.354267453034594
time=1698857997.4247768 Pos: [1.64572692 0.         0.84875204] angle 6.354267453034594
time=1698857997.4721408 Pos: [1.68290278 0.         0.84610504] angle 6.354267453034594
time=1698857997.518822 Pos: [1.68290278 0.         0.84610504] angle 6.321656225454813
time=1698857997.565184 Pos: [1.72014518 0.         0.84467158] angle 6.321656225454813
time=1698857997.6126258 Pos: [1.72014518 0.         0.84467158] angle 6.289044997875032
time=1698857997.6623292 Pos: [1.75741451 0.         0.84445319] angle 6.289044997875032
time=1698857997.709803 Pos: [1.79468385 0.         0.8442348 ] angle 6.289044997875032
time=1698857997.7564251 Pos: [1.83195318 0.         0.84401641] angle 6.289044997875032
time=1698857997.8030202 Pos: [1.86922252 0.         0.84379802] angle 6.289044997875032
time=1698857997.849741 Pos: [1.90649185 0.         0.84357963] angle 6.289044997875032
time=1698857997.897 Pos: [1.94376118 0.         0.84336124] angle 6.289044997875032
time=1698857997.9444444 Pos: [1.98103052 0.         0.84314285] angle 6.289044997875032
time=1698857997.9917333 Pos: [2.01829985 0.         0.84292447] angle 6.289044997875032
time=1698857998.0397515 Pos: [2.05556919 0.         0.84270608] angle 6.289044997875032
time=1698857998.0863712 Pos: [2.09283852 0.         0.84248769] angle 6.289044997875032
time=1698857998.1370032 Pos: [2.13010786 0.         0.8422693 ] angle 6.289044997875032
time=1698857998.183659 Pos: [2.16737719 0.         0.84205091] angle 6.289044997875032
time=1698857998.2316139 Pos: [2.20464653 0.         0.84183252] angle 6.289044997875032
time=1698857998.2782164 Pos: [2.24191586 0.         0.84161413] angle 6.289044997875032
time=1698857998.3254485 Pos: [2.27918519 0.         0.84139574] angle 6.289044997875032
time=1698857998.3723755 Pos: [2.31645453 0.         0.84117735] angle 6.289044997875032
time=1698857998.4193351 Pos: [2.35372386 0.         0.84095896] angle 6.289044997875032
time=1698857998.4662623 Pos: [2.3909932  0.         0.84074057] angle 6.289044997875032
time=1698857998.51348 Pos: [2.42826253 0.         0.84052218] angle 6.289044997875032
time=1698857998.560079 Pos: [2.46553187 0.         0.84030379] angle 6.289044997875032
time=1698857998.6123402 Pos: [2.5028012  0.         0.84008541] angle 6.289044997875032
time=1698857998.6594906 Pos: [2.54007054 0.         0.83986702] angle 6.289044997875032
time=1698857998.705966 Pos: [2.57733987 0.         0.83964863] angle 6.289044997875032
time=1698857998.7520206 Pos: [2.61460921 0.         0.83943024] angle 6.289044997875032
time=1698857998.7989314 Pos: [2.65187854 0.         0.83921185] angle 6.289044997875032
time=1698857998.8456373 Pos: [2.68914787 0.         0.83899346] angle 6.289044997875032
time=1698857998.8927376 Pos: [2.72641721 0.         0.83877507] angle 6.289044997875032
time=1698857998.9405732 Pos: [2.76368654 0.         0.83855668] angle 6.289044997875032
time=1698857998.9872427 Pos: [2.80095588 0.         0.83833829] angle 6.289044997875032
time=1698857999.034886 Pos: [2.83822521 0.         0.8381199 ] angle 6.289044997875032
time=1698857999.0849953 Pos: [2.87549455 0.         0.83790151] angle 6.289044997875032
time=1698857999.131699 Pos: [2.91276388 0.         0.83768312] angle 6.289044997875032
time=1698857999.1779609 Pos: [2.95003322 0.         0.83746473] angle 6.289044997875032
time=1698857999.2239883 Pos: [2.98730255 0.         0.83724634] angle 6.289044997875032
time=1698857999.2705173 Pos: [3.02457189 0.         0.83702796] angle 6.289044997875032
time=1698857999.3171632 Pos: [3.06184122 0.         0.83680957] angle 6.289044997875032
time=1698857999.3645067 Pos: [3.09911055 0.         0.83659118] angle 6.289044997875032
time=1698857999.411045 Pos: [3.13637989 0.         0.83637279] angle 6.289044997875032
time=1698857999.4577134 Pos: [3.17364922 0.         0.8361544 ] angle 6.289044997875032
time=1698857999.5049605 Pos: [3.21091856 0.         0.83593601] angle 6.289044997875032
time=1698857999.5519922 Pos: [3.24818789 0.         0.83571762] angle 6.289044997875032
time=1698857999.6009958 Pos: [3.28545723 0.         0.83549923] angle 6.289044997875032
time=1698857999.6524024 Pos: [3.28545723 0.         0.83549923] angle 6.256433770295251
time=1698857999.6983833 Pos: [3.32271387 0.         0.83649614] angle 6.256433770295251
time=1698857999.7457469 Pos: [3.35997051 0.         0.83749305] angle 6.256433770295251
time=1698857999.7920716 Pos: [3.39722714 0.         0.83848996] angle 6.256433770295251
time=1698857999.838719 Pos: [3.43448378 0.         0.83948687] angle 6.256433770295251
time=1698857999.885259 Pos: [3.43448378 0.         0.83948687] angle 6.22382254271547
time=1698857999.9314482 Pos: [3.47168811 0.         0.84169802] angle 6.22382254271547
time=1698857999.978198 Pos: [3.47168811 0.         0.84169802] angle 6.191211315135689
time=1698858000.034838 Pos: [3.50880056 0.         0.84512106] angle 6.191211315135689
time=1698858000.0819278 Pos: [3.50880056 0.         0.84512106] angle 6.158600087555908
time=1698858000.1291976 Pos: [3.50880056 0.         0.84512106] angle 6.125988859976127
time=1698858000.177196 Pos: [3.54561099 0.         0.85095567] angle 6.125988859976127
time=1698858000.2240055 Pos: [3.54561099 0.         0.85095567] angle 6.093377632396346
time=1698858000.2697704 Pos: [3.54561099 0.         0.85095567] angle 6.060766404816565
time=1698858000.3153412 Pos: [3.54561099 0.         0.85095567] angle 6.028155177236784
time=1698858000.3609083 Pos: [3.54561099 0.         0.85095567] angle 5.995543949657003
time=1698858000.4064958 Pos: [3.54561099 0.         0.85095567] angle 5.962932722077222
time=1698858000.451805 Pos: [3.58098601 0.         0.86268849] angle 5.962932722077222
time=1698858000.4993052 Pos: [3.58098601 0.         0.86268849] angle 5.930321494497441
time=1698858000.546502 Pos: [3.58098601 0.         0.86268849] angle 5.89771026691766
TARG: {'angle': 0.215, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.8]
TARG: {'angle': -0.34, 'dist': 2.325}
STEP: [0, 0.7]
TARG: {'angle': -0.243, 'dist': 2.325}
STEP: [0, 0.7]
TARG: {'angle': -0.243, 'dist': 2.325}
STEP: [0, 0.7]
TARG: {'angle': -0.243, 'dist': 2.325}
STEP: [0, 0.7]
TARG: {'angle': -0.243, 'dist': 2.325}
STEP: [0, 0.7]
TARG: {'angle': -0.243, 'dist': 2.325}
STEP: [0, 0.7]
TARG: {'angle': -0.243, 'dist': 2.325}
STEP: [0, 0.7]
TARG: {'angle': -0.243, 'dist': 2.325}
STEP: [0, 0.7]
TARG: {'angle': -0.243, 'dist': 2.325}
STEP: [0, 0.7]
TARG: {'angle': -0.243, 'dist': 2.325}
STEP: [0, 0.7]
TARG: {'angle': -0.243, 'dist': 2.325}
STEP: [0, 0.7]
TARG: {'angle': -0.243, 'dist': 2.325}
STEP: [0.8, 0]
TARG: {'angle': 0.77, 'dist': 2.319}
STEP: [0.8, 0]
TARG: {'angle': 0.726, 'dist': 2.313}
STEP: [0.8, 0]
TARG: {'angle': 0.681, 'dist': 2.308}
STEP: [0.8, 0]
TARG: {'angle': 0.635, 'dist': 2.304}
STEP: [0, -0.7]
TARG: {'angle': 0.29, 'dist': 2.304}
STEP: [0, -0.7]
TARG: {'angle': 0.29, 'dist': 2.304}
STEP: [0.8, 0]
TARG: {'angle': 0.586, 'dist': 2.297}
STEP: [0.8, 0]
TARG: {'angle': 0.537, 'dist': 2.292}
STEP: [0, -0.7]
TARG: {'angle': 0.221, 'dist': 2.292}
STEP: [0.8, 0]
TARG: {'angle': 0.486, 'dist': 2.285}
STEP: [0, -0.7]
TARG: {'angle': 0.186, 'dist': 2.285}
STEP: [0, -0.7]
TARG: {'angle': 0.186, 'dist': 2.285}
STEP: [0, -0.7]
TARG: {'angle': 0.186, 'dist': 2.285}
STEP: [0.8, 0]
TARG: {'angle': 0.434, 'dist': 2.276}
STEP: [0.8, 0]
TARG: {'angle': 0.381, 'dist': 2.267}
STEP: [0, -0.7]
TARG: {'angle': 0.117, 'dist': 2.267}
STEP: [0, -0.7]
TARG: {'angle': 0.117, 'dist': 2.267}
STEP: [0, -0.7]
TARG: {'angle': 0.117, 'dist': 2.267}
STEP: [0, -0.7]
TARG: {'angle': 0.117, 'dist': 2.267}
STEP: [0, -0.7]
TARG: {'angle': 0.117, 'dist': 2.267}
STEP: [0.8, 0]
TARG: {'angle': 0.328, 'dist': 2.253}
STEP: [0, -0.7]
TARG: {'angle': 0.083, 'dist': 2.253}
STEP: [0, -0.7]
TARG: {'angle': 0.083, 'dist': 2.253}
STEP: [0.8, 0]
TARG: {'angle': 0.276, 'dist': 2.238}
STEP: [0.8, 0]
TARG: {'angle': 0.224, 'dist': 2.222}
STEP: [0, -0.7]
TARG: {'angle': 0.019, 'dist': 2.222}
STEP: [0, -0.7]
TARG: {'angle': 0.019, 'dist': 2.222}
STEP: [0.8, 0]
TARG: {'angle': 0.173, 'dist': 2.206}
STEP: [0.8, 0]
TARG: {'angle': 0.123, 'dist': 2.189}
STEP: [0, -0.7]
TARG: {'angle': -0.044, 'dist': 2.189}
STEP: [0.8, 0]
TARG: {'angle': 0.074, 'dist': 2.172}
STEP: [0, -0.7]
TARG: {'angle': -0.075, 'dist': 2.172}
STEP: [0.8, 0]
TARG: {'angle': 0.026, 'dist': 2.155}
STEP: [0, -0.7]
TARG: {'angle': -0.105, 'dist': 2.155}
STEP: [0.8, 0]
TARG: {'angle': -0.02, 'dist': 2.137}
STEP: [0.8, 0]
TARG: {'angle': -0.065, 'dist': 2.119}
STEP: [0.8, 0]
TARG: {'angle': -0.109, 'dist': 2.102}
STEP: [0.8, 0]
TARG: {'angle': -0.153, 'dist': 2.086}
STEP: [0.8, 0]
TARG: {'angle': -0.196, 'dist': 2.07}
STEP: [0.8, 0]
TARG: {'angle': -0.238, 'dist': 2.054}
STEP: [0, -0.7]
TARG: {'angle': -0.282, 'dist': 2.054}
STEP: [0.8, 0]
TARG: {'angle': -0.278, 'dist': 2.038}
STEP: [0.8, 0]
TARG: {'angle': -0.318, 'dist': 2.023}
STEP: [0, -0.7]
TARG: {'angle': -0.339, 'dist': 2.023}
STEP: [0.8, 0]
TARG: {'angle': -0.356, 'dist': 2.007}
STEP: [0, -0.7]
TARG: {'angle': -0.367, 'dist': 2.007}
STEP: [0.8, 0]
TARG: {'angle': -0.393, 'dist': 1.991}
STEP: [0.8, 0]
TARG: {'angle': -0.429, 'dist': 1.975}
STEP: [0.8, 0]
TARG: {'angle': -0.464, 'dist': 1.959}
STEP: [0.8, 0]
TARG: {'angle': -0.499, 'dist': 1.945}
STEP: [0.8, 0]
TARG: {'angle': -0.534, 'dist': 1.931}
STEP: [0.8, 0]
TARG: {'angle': -0.568, 'dist': 1.917}
STEP: [0.8, 0]
TARG: {'angle': -0.602, 'dist': 1.904}
STEP: [0.8, 0]
TARG: {'angle': -0.635, 'dist': 1.892}
STEP: [0.8, 0]
TARG: {'angle': -0.668, 'dist': 1.88}
STEP: [0.8, 0]
TARG: {'angle': -0.7, 'dist': 1.87}
STEP: [0.8, 0]
TARG: {'angle': -0.733, 'dist': 1.859}
STEP: [0.8, 0]
TARG: {'angle': -0.765, 'dist': 1.85}
STEP: [0.8, 0]
TARG: {'angle': -0.796, 'dist': 1.841}
STEP: [0.8, 0]
TARG: {'angle': -0.828, 'dist': 1.833}
STEP: [0.8, 0]
TARG: {'angle': -0.859, 'dist': 1.826}
STEP: [0.8, 0]
TARG: {'angle': -0.89, 'dist': 1.819}
STEP: [0.8, 0]
TARG: {'angle': -0.92, 'dist': 1.813}
STEP: [0.8, 0]
TARG: {'angle': -0.951, 'dist': 1.808}
STEP: [0.8, 0]
TARG: {'angle': -0.981, 'dist': 1.804}
STEP: [0.8, 0]
TARG: {'angle': -1.011, 'dist': 1.8}
STEP: [0.8, 0]
TARG: {'angle': -1.04, 'dist': 1.797}
STEP: [0.8, 0]
TARG: {'angle': -1.07, 'dist': 1.795}
STEP: [0.8, 0]
TARG: {'angle': -1.099, 'dist': 1.794}
STEP: [0.8, 0]
TARG: {'angle': -1.128, 'dist': 1.793}
STEP: [0.8, 0]
TARG: {'angle': -1.156, 'dist': 1.793}
STEP: [0.8, 0]
TARG: {'angle': -1.184, 'dist': 1.794}
STEP: [0.8, 0]
TARG: {'angle': -1.212, 'dist': 1.796}
STEP: [0.8, 0]
TARG: {'angle': -1.24, 'dist': 1.799}
STEP: [0.8, 0]
TARG: {'angle': -1.268, 'dist': 1.802}
STEP: [0.8, 0]
TARG: {'angle': -1.295, 'dist': 1.806}
STEP: [0.8, 0]
TARG: {'angle': -1.322, 'dist': 1.811}
STEP: [0.8, 0]
TARG: {'angle': -1.348, 'dist': 1.817}
STEP: [0.8, 0]
TARG: {'angle': -1.374, 'dist': 1.823}
STEP: [0.8, 0]
TARG: {'angle': -1.4, 'dist': 1.83}
STEP: [0.8, 0]
TARG: {'angle': -1.426, 'dist': 1.838}
